Team Name,Games,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goal Percentage,2P Made,2P Attempted,2P Percentage,3P Made,3P Attempted,3P Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Total Points,Effective Field Goal %,Expected Possessions,Possessions,Box Plus/Minus,Opponent Field Goals Made,Opponent Field Goals Attempted,Opponent Field Goal Percentage,Opponent 2P Made,Opponent 2P Attempted,Opponent 2P Percentage,Opponent 3P Made,Opponent 3P Attempted,Opponent 3P Percentage,Opponent Free Throws Made,Opponent Free Throws Attempted,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Total Points,Opponent Effective Field Goal %
michigan,37,7449,1011,2160,0.468,710,1253,0.567,301,907,0.332,562,772,0.728,409,1013,1422,586,198,135,517,633,2885,0.5377314814814815,70.48,73.1159,0.0,938,2340,0.401,656,1425,0.46,282,915,0.308,486,665,0.731,438,824,1262,423,270,93,417,686,2644,0.46111111111111114
michigan-state,37,7425,1003,2192,0.458,779,1471,0.53,224,721,0.311,644,827,0.779,440,1032,1472,613,196,169,420,617,2874,0.5086678832116789,68.54,0,0.0,876,2163,0.405,630,1283,0.491,246,880,0.28,486,681,0.714,339,805,1144,461,220,117,408,719,2484,0.4618585298196949
missouri,34,6825,939,1949,0.482,643,1143,0.563,296,806,0.367,670,918,0.73,374,783,1157,467,318,89,370,620,2844,0.5577219086711134,69.09,71.4879,0.0,867,1946,0.446,620,1211,0.512,247,735,0.336,523,695,0.753,373,741,1114,425,228,120,479,690,2504,0.5089928057553957
marquette,34,6850,943,2123,0.444,622,1138,0.547,321,985,0.326,396,550,0.72,372,787,1159,467,305,124,318,545,2603,0.5197833254828074,67.97,70.3849,0.0,835,1913,0.436,595,1159,0.513,240,754,0.318,427,583,0.732,354,867,1221,500,192,100,500,501,2337,0.4992158912702561
clemson,34,6950,930,2012,0.462,642,1231,0.522,288,781,0.369,438,570,0.768,383,819,1202,484,252,119,358,518,2586,0.5337972166998012,65.82,67.9548,0.0,819,1915,0.428,587,1187,0.495,232,728,0.319,366,533,0.687,358,752,1110,358,210,103,452,553,2236,0.48825065274151436
maryland,36,7231,1039,2212,0.47,747,1430,0.522,292,782,0.373,549,732,0.75,380,925,1305,510,284,161,364,552,2919,0.5357142857142857,69.95,72.1639,0.0,886,2131,0.416,650,1359,0.478,236,772,0.306,410,556,0.737,363,858,1221,436,174,97,511,646,2418,0.47114030971374943
mississippi-state,34,6875,971,2147,0.452,683,1231,0.555,288,916,0.314,474,676,0.701,435,853,1288,517,310,152,365,591,2704,0.51932929669306,69.84,0,0.0,864,1968,0.439,554,1102,0.503,310,866,0.358,484,694,0.697,364,849,1213,458,212,107,452,588,2522,0.5177845528455285
kansas,34,6875,984,2093,0.47,731,1379,0.53,253,714,0.354,366,511,0.716,359,951,1310,602,211,160,402,486,2587,0.5305781175346392,69.44,71.7063,0.0,837,2091,0.4,576,1243,0.463,261,848,0.308,430,588,0.731,362,818,1180,440,257,126,371,491,2365,0.46269727403156385
mississippi,36,7250,959,2156,0.445,659,1293,0.51,300,863,0.348,561,760,0.738,331,862,1193,510,315,134,324,657,2779,0.514378478664193,68.98,71.4566,0.0,869,2002,0.434,586,1132,0.518,283,870,0.325,557,787,0.708,377,965,1342,504,207,141,507,641,2582,0.5047452547452548
louisville,35,7025,947,2088,0.454,619,1089,0.568,328,999,0.328,525,704,0.746,389,916,1305,486,223,100,395,545,2747,0.532088122605364,68.68,70.6929,0.0,879,2050,0.429,601,1234,0.487,278,816,0.341,396,556,0.712,340,830,1170,412,222,107,448,643,2432,0.49658536585365853
